index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
3306,"$5,000",2021,Arts & Culture,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Ethnic and racial groups; Economically disadvantaged people; Immigrants and migrants,Not Specified,Cash grants,East Bay Community Foundation,"Oakland, CA United States",Cityside Journalism Initiative,"Berkeley, CA United States",Support for The Oaklandside,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3307,"$5,000",2021,Arts & Culture,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults; Ethnic and racial groups; Economically disadvantaged people; Immigrants and migrants,Not Specified,Cash grants,East Bay Community Foundation,"Oakland, CA United States",Cityside Journalism Initiative,"Berkeley, CA United States",Cityside Journalism.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3308,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Estee Lauder Companies Charitable Foundation,"New York City, NY United States",PULITZER CENTER ON CRISIS REPORTING,"Washington, DC United States",GENERAL OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3309,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Adults,Ethics and accountability; Research,Cash grants,Fred J Brunner Foundation,"Bensenville, IL United States","Better Government Association, Inc.","Chicago, IL United States",INVESTIGATE GOVERNMENT WASTE AND CORRUPTION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3310,"$5,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Adults,Public engagement and education,Cash grants,Gannett Foundation Inc,"Mc Lean, VA United States",National Press Club Journalism Institute,"Washington, DC United States",CHARITABLE PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3311,"$5,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Presentations and productions,Cash grants,Gerald Flaxer Charitable Foundation,"Cambridge, MA United States",WGBH Educational Foundation,"Boston, MA United States",TO PROVIDE NEWS TO THE COMMUNITY,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3312,"$5,000",2021,,1 year,,"Media access and policy; Media justice; Journalism, news and information; Advocacy journalism",Homeless people,General support,Cash grants,Hca Healthcare Foundation,"Nashville, TN United States",The Contributor Inc,"Nashville, TN United States",OPERATIONAL FUNDING REQUEST,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3313,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",People of African descent,Conferences and exhibitions,Cash grants,Inasmuch Foundation,"Oklahoma City, OK United States",National Association of Black Journalists,"College Park, MD United States","SPONSORSHIPS: JOINT ANNUAL CONFERENCE WITH NAHJ (AUG 5-9, 2020); 5000.00; 07/21/2020",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3314,"$5,000",2021,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Constituency journalism",Adults,Not Specified,Cash grants,Iwamoto Family Foundation,"Honolulu, HI United States",Hawaii Public Radio,"Honolulu, HI United States",PUBLIC RADIO,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3315,"$5,000",2021,,1 year,,"Media Content and Platforms; Television; Radio; Web-based media; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Families; Non-adult children; Parents; Economically disadvantaged people,Not Specified,Cash grants,Jeffery Wallace Ellis Trust C/o Lutz & Company PC,"Hastings, NE United States",Ideastream,"Cleveland, OH United States",CHARITABLE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3316,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Program support; General support,Cash grants,JEWISH FAMILY & CHILDREN'S SERVICES,"San Francisco, CA United States",Center for Public Integrity,"Washington, DC United States",PROGRAM SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3317,"$5,000",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Jewish Federation of Omaha Foundation,"Omaha, NE United States",MinnPost,"Minneapolis, MN United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3318,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Adults; Parents; Academics; Activists,General support,Cash grants,John Sperling Foundation,"Litchfield Park, AZ United States",Markup News Inc,"New York City, NY United States",FOR GENERAL SUPPORT (DISCRETIONARY),http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3319,"$5,000",2021,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Jp's Peace Love & Happiness Foundation,"Wilmington, DE United States",University of Texas - KUT,"Austin, TX United States",General & Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3320,"$5,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Not Specified,Publications; Public engagement and education,Cash grants,Jubitz Family Foundation,"Portland, OR United States",Foundation for National Progress,"San Francisco, CA United States",MOTHER JONES NATIONAL SECURITY REPORTING,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3321,"$5,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Jewish people; Adults; Parents,General support,Cash grants,Klaff Family Foundation C/o Rita Sawyer,"Chicago, IL United States",70 Faces Media,"New York City, NY United States",General,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3322,"$5,000",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Ligon-Lamsam Foundation C/o Debra Flynn,"Austin, TX United States",TEXAS TRIBUNE INC,"Austin, TX United States",OPERATING PURPOSES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3323,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Lutz Foundation,"Berkeley, CA United States","PRO Publica, Inc.","New York City, NY United States",GENERAL FUNDING,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3324,"$5,000",2021,,1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Lutz Foundation,"Berkeley, CA United States","Committee to Protect Journalists, Inc.","New York City, NY United States",GENERAL FUNDING,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3325,"$5,000",2021,,1 year,,"Media Content and Platforms; Film/video; Journalism, news and information; Advocacy journalism",Adults,Program support; General support,Cash grants,Mark & Bette Morris Family Foundation,"Topeka, KS United States",International Documentary Association,"Los Angeles, CA United States",Program Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3326,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,Michael J Stephen and Lucile G Stephen Family Foundation,"Elmwood Park, IL United States","PRO Publica, Inc.","New York City, NY United States",HUMANITARIAN,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3327,"$5,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Program support,Cash grants,Mjh Foundation,"Cleveland, OH United States","National Public Radio, Inc.","Washington, DC United States",TO SUPPORT THE ORGANIZATION AND ITS PROGRAMS.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3328,"$5,000",2021,,1 year,,"Journalism, news and information; Advocacy journalism",Not Specified,General support,Cash grants,New Place Fund Inc,"Berkeley, CA United States",Columbus Institute for Contemporary Journalism Incorporated,"Columbus, OH United States",Operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3329,"$5,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism education",Academics,General support; Program support; Public engagement and education,Cash grants,New York Community Bank Foundation,"Roslyn, NY United States",Stony Brook University,"Stony Brook, NY United States",LI INSTITUTE FOR NEWS LITERACY SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3330,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Artists and performers,General support,Cash grants,Newman's Own Foundation,"Westport, CT United States",Type Media Center,"New York City, NY United States",GENERAL OPERATIONS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3331,"$5,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Not Specified,Publications; Program support; Public engagement and education,Cash grants,Nia Community Foundation,"Wilmington, DE United States",Foundation for National Progress,"San Francisco, CA United States",Mother Jones Investigative Fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3332,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",People of African descent; Multiracial people; Families,Program support,Cash grants,Northlight Foundation Inc,"New York City, NY United States",Outdoor Afro,"Oakland, CA United States",SUPPORT ORGANIZATION'S PROGRAMS & ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3333,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Public engagement and education; Program support,Cash grants,R&m Goldberg Family Foundation Inc,"New Hyde Park, NY United States",Massachusetts General Hospital,"Boston, MA United States","""PUBLIC""",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3334,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Ethnic and racial groups; Low-income people; Young boys; Students,Public engagement and education; Program support,Cash grants,R&m Goldberg Family Foundation Inc,"New Hyde Park, NY United States",George Jackson Academy,"New York City, NY United States","""PUBLIC""",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3335,"$5,000",2021,,1 year,,"Media access and policy; Media democracy; Journalism, news and information; Advocacy journalism",Caregivers; Families; Parents; People with disabilities; People with diseases and illnesses; Pregnant people; Academics; Adults; Children and youth,General support,Cash grants,Rebsamen Fund,"Little Rock, AR United States",The Chandler Project,"Little Rock, AR United States",GENERAL OPERATING FUND,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3336,"$5,000",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,Fundraising; General support,Cash grants,Reissa Foundation,"Wilmington, DE United States",TEXAS TRIBUNE INC,"Austin, TX United States",Charitable Event,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3337,"$5,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Not Specified,Cash grants,Reuler-Lewin Foundation Inc,"Guilford, CT United States","National Public Radio, Inc.","Washington, DC United States",CHARITABLE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3338,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism; Constituency journalism",Not Specified,Program support,Cash grants,Robert M Nutting Family Foundation Inc,"Wheeling, WV United States",WV Public Broadcasting,"Charleston, WV United States","SUPPORT OF INDEPENDENT JOURNALISM, NEWS, AND EDUCATION",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3339,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Ethnic and racial groups,Systems reform; Public engagement and education; Equal access; Advocacy; Ethics and accountability,Cash grants,Rochester Area Community Foundation,"Rochester, NY United States",Fund for Investigative Journalism Inc,"Washington, DC United States",SUPPORT FOR INVESTIGATIVE JOURNALISTS OF COLOR,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3340,"$5,000",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,Continuing support; General support,Cash grants,Saint Paul & Minnesota Foundation,"St Paul, MN United States",MinnPost,"Minneapolis, MN United States",For annual support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3341,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",Inspiring Philosophy Ministries,"Tucson, AZ United States",RELIGION RELATED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3342,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",People with psychosocial disabilities,"Policy, advocacy and systems reform; Public engagement and education; Program support",Cash grants,Seattle Foundation,"Seattle, WA United States",Transitional Resources,"Seattle, WA United States",To support Opening Rise at Yancy Street.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3343,"$5,000",2021,International Human Rights,1 year,,"Journalism, news and information; Investigative journalism",Families; Women and girls,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",Fuller Project for International Reporting Inc,"Washington, DC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3344,"$5,000",2021,Media & Communications,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Adults,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",The Center for Investigative Reporting,"Emeryville, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3345,"$5,000",2021,Media & Communications,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Presentations and productions,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",Mother Jones,"San Francisco, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3346,"$5,000",2021,Scholarships & Student Financial Aid,1 year,,"Media Content and Platforms; Film/video; Journalism, news and information; Journalism, news, and information, general",Students; Ethnic and racial groups; Muslims,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",Islamic Scholarship Fund (ISF),"Berkeley, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3347,"$5,000",2021,,1 year,,"Media Content and Platforms; Television; Radio; Web-based media; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Families; Non-adult children; Parents; Economically disadvantaged people,General support,Cash grants,Sisler Mcfawn Foundation Pfdn,"Brooklyn, OH United States",Ideastream,"Cleveland, OH United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3348,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Research,Cash grants,Southern Newspaper Publishers Association Foundation Inc,"Chicago, IL United States",Kansas Press Association Inc,"Topeka, KS United States",RESEARCH - RURAL JOURNALISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3349,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,Stein-Gelberg Foundation Inc,"West Palm Beach, FL United States","PRO Publica, Inc.","New York City, NY United States",JOURNALISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3350,"$5,000",2021,,1 year,,"Journalism, news and information; Advocacy journalism",Not Specified,"General support; Policy, advocacy and systems reform",Cash grants,Strake Foundation,"Houston, TX United States",National Review Institute,"New York City, NY United States",General Operating Support for National Review Institute in 2021,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3351,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Susan S and Kenneth L Wallach Foundation,"PURCHASE, NY United States","PRO Publica, Inc.","New York City, NY United States",GENERAL PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3352,"$5,000",2021,,1 year,,"Journalism, news and information; Advocacy journalism",Not Specified,General support,Cash grants,The Abstraction Fund,"New York City, NY United States",National Review Institute,"New York City, NY United States",GENERAL PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3353,"$5,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Artists and performers; Children and youth; Economically disadvantaged people; Students,Program support,Cash grants,The Art Laboe Foundation Inc,"Palm Springs, CA United States",SAG-AFTRA Foundation,"Los Angeles, CA United States",Arts/Media Community,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3354,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,The Barry and Mimi Sternlicht Foundation,"Wilmington, DE United States","PRO Publica, Inc.","New York City, NY United States",General & Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3355,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,The Bdm Family Foundation,"Wilmington, DE United States","PRO Publica, Inc.","New York City, NY United States",General & Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3356,"$5,000",2021,Arts Culture and Humanities; Public Broadcasting,1 year and 2 months,,"Journalism, news and information; Journalism, news, and information, general",American Indians,Publications; Program support,Cash grants,The Bush Foundation,"St Paul, MN United States",The Circle Corp,"Minneapolis, MN United States","This sponsorship provides support for the Circle News, one of the oldest Native American newspapers in the country, to cover the issues, culture, and arts of the Native American people in Minnesota.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3357,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Research,Cash grants,The Cameron and Jane Baird Foundation,"Buffalo, NY United States",Investigative Post Inc,"Buffalo, NY United States",SUPPORT FOR INVESTIGATIVE RESEARCH,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3358,"$5,000",2021,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,The Carter Chapman Shreve Family Foundation,"Wilmington, DE United States",Colorado Public Radio,"Centennial, CO United States",General & Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3359,"$5,000",2021,"A:Arts, Culture",1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Capital and infrastructure,Cash grants,The Community Foundation of Mendocino County,"Ukiah, CA United States",Mendocino County Public Broadcasting,"Philo, CA United States",Purchasing and installing two new computers that can handle the increased demands on two of KZYX's remote studios located in Ukiah and Fort Bragg. COVID-19 Response,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3360,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Ex-offenders; Offenders,General support,Cash grants,The Eberstadt-Kuffner Fund Inc,"New York City, NY United States",MARSHALL PROJECT INC,"New York City, NY United States",GENERAL FUND,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3361,"$5,000",2021,,1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Constituency journalism",Adolescents; Young adults,General support,Cash grants,The Edouard Foundation Inc C/o Tpw,"New York City, NY United States",Student Press Law Center,"Washington, DC United States",GENERAL PURPOSES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3362,"$5,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",Not Specified,General support,Cash grants,The Eucalyptus Foundation,"San Francisco, CA United States",American Journalism Project Inc,"Washington, DC United States",GENERAL SUPPORTGENERAL SUPPORTGENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3363,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Recordings and broadcasts; Public engagement and education,Cash grants,The Jacobson Family Foundation,"Houston, TX United States",TEXAS TRIBUNE INC,"Austin, TX United States",NEWS REPORTING AND INVESTIGATIVE SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3364,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Adults; At-risk youth; Economically disadvantaged people; Immigrants and migrants; Activists; Farmers; Families,Program support; General support,Cash grants,The Jay Pritzker Foundation,"Houston, TX United States",Civil Eats,"Burlington, MA United States",TO SUPPORT THE GENERAL FUND,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3365,"$5,000",2021,,1 year,,"Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth; Families,Not Specified,Cash grants,The Justin Dart Family Foundation,"Pasadena, CA United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",CHARITABLE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3366,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism; Constituency journalism",Not Specified,Presentations and productions; Program support,Cash grants,The Mary Ann and Lawrence Tucker Foundation,"Greenwich, CT United States",Democracy Now Productions Inc,"New York City, NY United States",A NON-PROFIT ORGANIZATION WHICH PRODUCES NEWS PROGRAMS & SPONSORS INDEPENDENT JOURNALISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3367,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,The Mitchell & Elaine Yanow Charitable Trust,"New York City, NY United States",Civic News Company,"New York City, NY United States",Educational,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3368,"$5,000",2021,,1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support; General support,Cash grants,The Richard W Rupp Foundation,"Buffalo, NY United States","Committee to Protect Journalists, Inc.","New York City, NY United States",PROGRAM SERVICES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3369,"$5,000",2021,,1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Robert and Joyce Menschel Family Foundation C/o David Menschel,"New York City, NY United States","Committee to Protect Journalists, Inc.","New York City, NY United States",GENERAL/UNRESTRICTED SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3370,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Program support,Cash grants,The Sand Foundation,"Wilmington, DE United States",Rhode Island Public Radio,"Providence, RI United States",EJMP Challenge Grant for Investigative Journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3371,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Shimon Ben Joseph Foundation DBA Jim Joseph Foundation,"San Francisco, CA United States",San Francisco Jewish Community Publications Inc,"San Francisco, CA United States",GENERAL OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3372,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Building and renovations,Cash grants,The Steven P Dostart Charitable Foundation,"Palo Alto, CA United States",El Paso Community Foundation,"El Paso, TX United States",CONSTRUCTION OF THE PLAZA PUBLICA PUNTA DE MITA PROJECT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3373,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism; Journalism education",Academics,"Awards, prizes and competitions; Program support",Cash grants,The Tow Foundation Inc,"New Canaan, CT United States",CRAIG NEWMARK GRADUATE SCHOOL OF JOURNALISM CUNY FOUNDATION INC,"New York City, NY United States",STEPHEN B. SHEPARD PRIZE FOR INVESTIGATIVE REPORTING ANNUAL AWARDS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3374,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Artists and performers,General support,Cash grants,The Workable Alternatives Foundation,"Delmont, PA United States",Type Media Center,"New York City, NY United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3375,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Ex-offenders; Offenders,General support,Cash grants,The Zients Family Foundation Inc,"Washington, DC United States",MARSHALL PROJECT INC,"New York City, NY United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3376,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Adults; At-risk youth; Economically disadvantaged people; Immigrants and migrants; Activists; Farmers; Families,General support,Cash grants,Tomkat Ranch Educational Foundation,"Pescadero, CA United States",Civil Eats,"Burlington, MA United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3377,"$5,000",2021,,3 months,,"Journalism, news and information; Advocacy journalism",Women; Victims of crime and abuse; Activists,Program support; Advocacy; Systems reform,Cash grants,Urgent Action Fund for Feminist Activism,"Alameda, CA United States",NATIONAL IRANIAN AMERICAN COUNCIL,"Washington, DC United States","The request is for an Iran-American journalist and media analyst who is experiencing rape and death threats, along with doxxing and trolling of both her and her family, including her child and extended family members. The WHRD has been reporting on human rights violations in Iran and the Middle East, and the impact of US foreign policy and sanctions against Iranians, Muslims and Middle Easterners. She suspects these are coming from the Iranian government, US Dept. of State and other pro-war factions. While she has faced cyberbullying and digital threats in the past, these new threats are immediate and heightened. She has already relocated her family to another location. The funds will be used for legal fees, digital and physical security measures.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3378,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Indigenous peoples; People of African descent; Adults; Activists,Advocacy; Outreach,Cash grants,Vegfund Inc,"Washington, DC United States",Encompass Inc,"Silver Spring, MD United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3379,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults,Advocacy; Outreach,Cash grants,Vegfund Inc,"Washington, DC United States",Plant Based Nutrition Support Group,"West Bloomfield, MI United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3380,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism; Advocacy journalism",Not Specified,General support,Cash grants,W. Clement & Jessie V. Stone Foundation,"Chicago, IL United States",Invisible Institute,"Chicago, IL United States",General Operating Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3381,"$5,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support; Public engagement and education; Equal access; Systems reform,Cash grants,Weatherlow Foundation,"Corning, NY United States",The Marion Institute Inc,"Marion, MA United States",GENERAL SUPPORT AND THE HIMALAYAN PROJECT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3382,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Adirondack Foundation,"Lake Placid, NY United States","PRO Publica, Inc.","New York City, NY United States",FOR UNRESTRICTED SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3383,"$5,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Adirondack Foundation,"Lake Placid, NY United States","PRO Publica, Inc.","New York City, NY United States",FOR UNRESTRICTED SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
3384,"$5,000",2021,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Amg Charitable Gift Foundation,"Greenwood Village, CO United States",Colorado Public Radio,"Centennial, CO United States",PUBLIC ASSISTANCE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
