index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
2973,"$10,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Artists and performers,"Awards, prizes and competitions; Publications",Cash grants,The William C Bullitt Foundation Inc,"New York City, NY United States",Type Media Center,"New York City, NY United States",CIVIC ENGAGEMENT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2974,"$10,000",2021,,1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Trehan Foundation,"Mc Lean, VA United States","Committee to Protect Journalists, Inc.","New York City, NY United States",GENERAL FUND,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2975,"$10,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Ex-offenders; Offenders,General support,Cash grants,Utopia Fund,"Plainview, NY United States",MARSHALL PROJECT INC,"New York City, NY United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2976,"$10,000",2021,,1 year,,"Media Content and Platforms; Film/video; Journalism, news and information; Journalism, news, and information, general",Adolescents; Young adults; Artists and performers,Not Specified,Cash grants,Vanguard Charitable,"Malvern, PA United States",The Bronx Documentary Center,"Bronx, NY United States",FOR RECIPIENT'S EXEM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2977,"$10,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Social and economic status; Work status and occupations; Age groups; Health,Advocacy; Outreach,Cash grants,Vegfund Inc,"Washington, DC United States",The Virsa Foundation Inc,"Lincoln, MA United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2978,"$10,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,Scholarships,Cash grants,VENTURA COUNTY COMMUNITY FOUNDATION,"Camarillo, CA United States",Ball State University Foundation Inc,"Muncie, IN United States","ACCOUNT #4994, FOR THE DEPARTMENT OF JOURNALISM RECRUITING SCHOLARSHIPS",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2979,"$10,000",2021,,1 year,,"Journalism, news and information; Constituency journalism",LGBTQ people,Financial sustainability; General support,Cash grants,Walton Family Foundation,"Bentonville, AR United States",National Lesbian & Gay Journalists Association,"Washington, DC United States",Sponsorship for the 2021 NLGJA Convention and membership dues for 100 students.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2980,"$10,000",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",Not Specified,Not Specified,Cash grants,WILBURFORCE FOUNDATION,"Seattle, WA United States","Grist Magazine, Inc.","Seattle, WA United States",ENVIRONMENTAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2981,"$10,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",People of Asian descent,General support; Advocacy,Cash grants,William F Harnisch Foundation Inc C/o William F Harnisch,"East Quogue, NY United States",Asian American Journalists Association,"Washington, DC United States",GENERAL OPERATIONS SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2982,"$10,000",2021,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Brett Family Foundation,"Boulder, CO United States",Colorado Public Radio,"Centennial, CO United States",OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
